id,from,to,subject,date,body,threadId
edge_001,,,Receipt,2025-11-01,Charged $42.00 at Corner Store.,edge_001
edge_002,billing@shop.com,,,2025-11-01,Payment of $15.20 confirmed.,edge_002
edge_003,receipts@ride.com,,Ride Receipt,,Total charged: $18.90,edge_003
edge_004,noreply@vendor.com,,Invoice Paid,2025-11-02,,edge_004
edge_005,desk@hotel.com,,Pre-authorization Hold,2025-11-03,A temporary hold of $250.00 was placed and will be released at checkout.,edge_005
edge_006,alerts@bank.com,,Transfer Pending,2025-11-03,Transfer of $400.00 is pending and awaiting final confirmation.,edge_006
edge_007,accounts@consulting.com,,Invoice #8841,2025-11-04,Invoice total: $980.00 due in 30 days. No payment received yet.,edge_007
edge_008,travel@agency.com,,Trip Charges,2025-11-05,Hotel: EUR 120.00 charged. Taxi reimbursement: USD -35.00 posted.,edge_008
edge_009,receipt@cafedelmar.mx,,¡Recibo! ¡Gracias! ☕,2025-11-05,Pago confirmado - MXN 420.50 - Café del Mar - mesa 7,edge_009
edge_010,billing@eu-shop.eu,,Payment confirmation,2025-11-06,"Amount charged: EUR 1.234,56",edge_010
